Aircraft,CabinFlown,CabinStaffService,DateFlown,FoodAndBeverages,GroundService,InflightEntertainment,Recommended,Route,SeatComfort,Textchunk,TypeOfTraveller,ValueForMoney,WifiAndConnectivity 
nan,Economy Class,1.0,nan,2.0,nan,1.0,no,nan,1.0,Flew from Istanbul to Tehran very recently old and dirty airplane very unhelpful cabin crew. Return from Tehran to Istanbul was a nightmare as I had to wait 1.45 hrs to check in due to a lack of staff at the airport. I will not recommend the airline at any price.,nan,1.0,nan
nan,Economy Class,2.0,nan,2.0,nan,3.0,yes,nan,3.0,Travelled ESB-IST-LHR and return 2/4/14 and 7/4/14. Both sets of flights and aircraft were satisfactory. Flight between Ankara and Istanbul is short so the crew have just enough time to give out the picnic baskets of food before descent commences. Sandwiches are served on the domestic flights which are ok but not a substitute for a proper meal. London flights were ok food was served within the first hour of the flight but then the cabin crew were almost non-existent for the remainder of the flight. Selection of food was not available to me on both international flights probably because I was sat in an exit row half way down the aircraft. It was beef or nothing. Connection between the two flights was stressful as navigating Ataturk airport customs is a long process. The most disappointing thing about the flights is the attitude of the cabin crew towards the safety rules. Many passengers on Turkish Airlines do not observe the seatbelt sign and will get out of their seats while the aircraft is taxiing to open overhead lockers. This occurred on all flights and the cabin crew were indifferent and didn't say a thing on all occasions. This is a very different attitude compared with other airlines. The command of English of the cabin crew and at times the pilots is quite poor also which is surprising for a growing international airline.,nan,3.0,nan
nan,Economy Class,4.0,nan,3.0,nan,5.0,yes,nan,3.0,DUB-IST-PEK and return. Check-in slow at both DUB and PEK due to group travel. All four flights full. European sectors particularly good with very friendly smiling and welcoming onboard staff and food above average. IST-PEK outbound delayed by almost 3 hours with no explanation given. Service good staff efficient but indifferent on the long-haul flights with food below par on occasion particularly breakfast. Dinner on both long-haul sectors meals edible. Drinks plentiful with frequent top-ups. Entertainment excellent with plenty of choice of movies and programming. Will definitely use again but a little bit more required to maintain 4-star rating.,nan,5.0,nan
nan,Business Class,5.0,nan,5.0,nan,5.0,yes,nan,5.0,LAX-IST-BCN and return. Turkish continues to be a favorite with the finest catering I have encountered on any airline. On the intercontinental segments both the appetizer and the dessert are chosen from a cart laden (truly) with an incredible selection of options. The menu is extensive and provides something for every taste. While food in Business Class is generally good on every airline Turkish takes it to a new level and provides and experience worth anticipation. The crews are friendly and the seating is comfortable for long flights. All services were on time and the Istanbul Lounge is a wonderful place for relaxing between flights.,nan,5.0,nan
nan,Economy Class,5.0,nan,4.0,nan,nan,yes,nan,5.0,TXL-IST-KRT return. With Lufthansa stopping its flights to KRT in January no major European airline flies there anymore. Thus flying from Europe the shortest route one has to take either Turkish Airlines or Egyptair. Since I had good experience with THY in the past I took them once again and have no complaints except for the 50 mins delay on the IST-KRT leg and the fact that they stopped serving alcohol on flights to sharia-law countries such as Sudan. The food was good and seats in the 738 were comfortable providing sufficient legroom even for a 4.10 hrs IST-KRT flight. Ataturk airport has been renovated since my last visit there and the wait for the connecting flights was quite pleasant.,nan,5.0,nan
nan,Business Class,1.0,nan,2.0,nan,2.0,no,nan,2.0,I fly every 3 weeks on Turkish. Having a good experience is like a game of roulette. Some aircraft's are excellent others very old and shabby. Economy class does what it says on the tin but Business class is generally below the standard of peers. However one thing is constant: the poor level of service. If anything goes wrong or if you have a special request just forget about it and remember this is an emerging airline. Cheap A to B in economy why not? But as a business traveler I cannot honestly recommend Turkish.,nan,3.0,nan
nan,Economy Class,4.0,nan,5.0,nan,3.0,yes,nan,4.0,Quick flight IST-ATH return on the A321. Was really impressed by the 'picnic basket' served for breakfast both ways by DO&CO. They do the best catering. Service was fine but the stand out is their lounge at Istanbul Airport. It is fantastic showcasing the best of Turkish cuisine.,nan,4.0,nan
nan,Economy Class,1.0,nan,4.0,nan,3.0,no,nan,4.0,Lyon-IST-Moscow. 2 delays on our flights. Each of them for more than 30 minutes. Food quality was good. Not enough space for legs.,nan,2.0,nan
nan,Economy Class,3.0,nan,3.0,nan,4.0,yes,nan,2.0,MAN-IST return. Efficient check in clean plane. Good entertainment system. Food quality good. Poor leg room on the A321 in economy. However the same main course was served both sectors and although they give you a menu card with two options there was in fact only one option on both sectors. No separate drinks service only with food. Not up to the standard of the ME carriers.,nan,3.0,nan
nan,Economy Class,3.0,nan,3.0,nan,2.0,yes,nan,3.0,London Gatwick to Istanbul Sabiha Gokcen. A comfortable flight meal was acceptable. The service was courteous if not particularly friendly. IFE left a lot to be desired very limited selection of music. The only non Turkish Selection was classical.,nan,3.0,nan
nan,Economy Class,4.0,nan,4.0,nan,2.0,yes,nan,4.0,While planning a trip to Istanbul we decided on Turkish Airlines mainly due to low fares out of Houston. We booked economy and were a little concerned due to some negative reviews but we have no regrets but do have a few observations. Check in at Houston was fine we decided to upgrade to comfort class at check in there was no offer or signs we just asked. It cost us $350 each for one way but we are glad we did it. Roomy seats nice amenities and good food in comfort class. The in flight entertainment was not so great mostly older movies but we slept just fine. We had concerns about the temperature in flight and yes it was too warm. On our return from IST the check in was chaotic at best. Flight was fine food and amenities were about the same as comfort class so we are glad we did not pay to upgrade. Overall we would not hesitate to fly THY again.,nan,5.0,nan
nan,Premium Economy,2.0,nan,3.0,nan,3.0,no,nan,3.0,This was the first time I've flown Turkish airlines so I wasn't sure what to expect. The flight from Houston to Istanbul was great and flight attendants were fantastic. But the flight from Istanbul to Houston was bizarre. I had to show my ticket stub 4 times to prove I was in the correct area (not just me everyone had to show their ticket stub) and they placed stickers on unoccupied seats so they could tell if someone changed seats. Turkish Airlines apparently has a weird policy of not letting customers upgrade to premium seating when seats are available. They spend way too much time monitoring the empty seats. They really made my trip feel cheap and uncomfortable.,nan,4.0,nan
nan,Economy Class,5.0,nan,5.0,nan,5.0,yes,nan,4.0,I read so many bad reviews of Turkish I was a bit sceptical when I boarded. The flights we took were round trip from Houston to Istanbul. I was pleasantly surprised by the entire experience. The plane was comfortable with adequate legroom in economy. Very good inflight entertainment system. Food was excellent. We especially liked that snacks/drinks during the mid-flight time (after first meal and before second) were all self service. Very convenient. My only complaint would be the lavatory got messy fast and never really felt clean. Flight out of Houston was one hour late out of Istanbul was right on time.,nan,5.0,nan
nan,Business Class,5.0,nan,5.0,nan,5.0,yes,nan,5.0,Washington Dulles to Istanbul Business Class. I was re-routed from a cancelled flight onto this one and what a nice surprise it turned out to be. The flight arrived on time and the cabin crew were very polite. The service was excellent with on demand entertainment comfortable reclining seats to sleep in and a complimentary meal service. This was not at all like flying with the USA's airlines where the staff are usually brusque and rude and the service generally terrible. I very much recommend Turkish Airlines for long haul business class.,nan,5.0,nan
nan,Premium Economy,4.0,nan,4.0,nan,3.0,yes,nan,3.0,IST-YYZ. Pretty much a good experience except that the overhead luggage storage was completely stuffed full as we boarded the aircraft. This created tension and stress as we did not want to store our belongings way down the aisle. We discovered that it was in fact the cabin crew that had plugged the overheads with their personal luggage and not even the crew from our cabin. I have flown with Turkish many times and I wish they would understand that little things like this do matter very much to the traveller.,nan,4.0,nan
nan,Economy Class,5.0,nan,5.0,nan,5.0,yes,nan,5.0,19th April Nairobi to Istanbul. The cabin crew responded well and were kind I was also comforted by the Boeing sky interior in the Boeing 737-800. We took of on time and landed 15 minutes early. Return flight on 29th April was a bit hectic after we missed our return flight to Nairobi Turkish Airlines offered to help us and after clearing with them the main problem was our bags. They told us that our bags would be transferred from the lost and found desk directly to the aircraft. Would recommend.,nan,4.0,nan
nan,Economy Class,1.0,nan,3.0,nan,1.0,no,nan,3.0,Travelled from Birmingham UK to Dhaka Bangladesh via Istanbul the on-going flight was ok. The return flight was not as pleasant the inflight entertainment system was not working. I asked the cabin crew if they could help but they were far too busy. Eventually after a long wait I was relocated to another seat similarly on the new seat the inflight entertainment system was not working. I had to make the entire journey (6 hours plus) with nothing to do. As a result I would not recommend Turkish Airlines.,nan,1.0,nan
nan,Economy Class,5.0,nan,5.0,nan,5.0,yes,nan,3.0,Houston to Delhi on 26th and it was quite impressive. Staff were attentive food was excellent and service excellent. I travel at least twice every year to India and this has been the best I have encountered. The only downside was the leg space in economy however was impressed with the Premium Economy (although it was all booked and available only on the first leg). I am looking forward to my next trip on 11/05 with a stop in Istanbul and heading to Chicago on 22nd.,nan,5.0,nan
nan,Economy Class,5.0,nan,5.0,nan,5.0,yes,nan,4.0,JFK-IST-TLV and return. Flew with my family to Israel for Spring Break. This was my first time flying with Turkish Airlines and will not be my last. Flight attendants were very nice to me for all flights. Food was very good! Eggplant stuffed with minced beef was fantastic! JFK-IST and IST-JFK flights had good IFE with many music and movie selections to choose from. TLV-IST and IST-TLV flights had no inflight entertainment but this was only a two hour flight so I just slept. Seats were nice for economy. If only airlines in the US learned from airlines like Turkish. A very good experience.,nan,5.0,nan
nan,Premium Economy,5.0,nan,5.0,nan,4.0,yes,nan,5.0,We flew from Rome to Istanbul business class staff food and aircraft were excellent no complaints on this 3.5 hour flight. We then had a two hour wait for our flight to Hong Kong in premium economy on Turkish Airlines. Again everything was excellent. Only thing I could say they should get their boarding process more efficient. Everyone was seated near the boarding counter (flight full or nearly full) we had been sitting there for an hour a person came in and told everyone to move we thought the gate had changed. No. We were moved outside the door past another counter and then had to line up show our boarding pass which part was torn off and then had to sit back where we were originally. Sat there for an hour. After all passengers were seated back where they were the staff member then proceeded to zap all the boarding passes it seemed like 6 times. Why I don't know that is usually done in one process. We then lined up in lines marked A B C D and then flew to HKG. Great flight service and nice clean planes.,nan,5.0,nan
nan,Economy Class,1.0,nan,3.0,nan,3.0,no,nan,3.0,Critical flaw - staff do absolutely nothing to enable best possible chance to make connecting flights. TK feeder flight late leaving Antalya late arriving IST bus 10 minutes around tarmac as no airbridge! No staff waiting to expedite transfers. I am a regular traveller and always every attempt is made to enable connections. It's basic. TK international flight also delayed so not leaving for one hour - staff just tore up my boarding pass rather than even attempting to get me on board! The implication was significant.,nan,3.0,nan
nan,Economy Class,1.0,nan,3.0,nan,1.0,no,nan,2.0,I've flown with Turkish 4 times since Jan 2014. This weekend (29 May to 1st June) I flew with them again from Riyadh to Geneva and return. First flight Wednesday night was crowded but boarding went well and was relatively quick. Onboard the plane was not clean the supposedly red seats were much more black the carpet was dirty and entertainment system outdated. Flight attendants were rude. The food as usual was quite good. Landing at IST was ok. Airport is not the nicest but not bad. Nevertheless I still do not understand why you have again to go for a full security check while in transit. Then we boarded for GVA starting with a bus ride crossing the taxiway and queuing. The plane was again outdated and not clean at all. Again flight attendants were not smiling and the entertainment system did not exist. Yesterday I did the same trip back same conditions same services same outdated planes.,nan,2.0,nan
nan,Business Class,5.0,nan,2.0,nan,1.0,yes,nan,5.0,BRU-IST C class Airbus 330. Good check in and sn lunch. Very busy day at Zaventem full everywhere sn class leaves much to be desired. Boarding messy but once on board all went very smoothly. Food not that great hardly changed the menu and flew them at least 6 legs just this year. Passport control for C class pax a dream and good delivery of bags. All in all good will use them this coming weekend again.,nan,5.0,nan
nan,Economy Class,2.0,nan,5.0,nan,5.0,no,nan,5.0,"BOS-IST-BOS. The flight was fine but ground crew in both Boston and IST were uncommunicative unhelpful and more involved in talking with each other than in helping passengers. 4 hour delay leaving BOS with promises to update ""in 15 minutes"" no further info for an hour. Nasty little sandwiches provided around 2am but not enough bottles of water to go around. I travel a lot and I've never seen such an unprofessional ground crew. Boarding in IST chaotic. No announcements no signs. Constant ""security checks"" but no computers used so no real verification of identity info. Wanding being done incorrectly. Security staff asking passengers detailed questions about the reasons for going to the US where they were residing etc. as if they were US Immigration - but nothing going into computers to be transmitted to US authorities.",nan,3.0,nan
nan,Business Class,4.0,nan,3.0,nan,4.0,yes,nan,4.0,AMS-IST-AMS Business Class. Their Lounge at AMS has been reduced by 50% which can get uncomfortable during the busy hours. Food and beverages are scarce. But it's a clean friendly environment! A340-300 to IST just a few business class passengers. The seats are worn but not worn-out. I preferred a low calorie meal which turned out to be fish. The meal itself was good enough. We landed on time. My flight outbound from IST is always late no matter the weather. Late boarding late departure. My plane was already there! Service on-board was good. Business load [sold seats] was high. The best part of the trip is the CIP lounge!,nan,5.0,nan
nan,Economy Class,3.0,nan,3.0,nan,2.0,yes,nan,4.0,LGW-IST-CPT return. Great value flight. Check in at LGW easy and quick and very pleasant staff member. Simple flight to IST and a 6.5 hour wait with little to do. Recommend Cafe Nero for a really good cup of tea while you wait. Flight to Cape Town was reasonably pleasant but staff were a little sniffy especially the females. Food was fair but nothing special. Inflight entertainment was awful. Provided headphones were of the earbud type really uncomfortable and wouldn't stay in the ears. Sound quality was horrible. Return leg was an unsuitable for long haul plane which was full after it stopped in Joburg. The meal on take off was delicious. The staff on the return leg were one of the most hard working I have encountered making up for the poor plane. However the breakfast was served cold and was uneatable. Same meal was served on the IST-LGW leg and we declined it. Security check at IST on the return leg was horrible. One South African woman bleeped while going through the gate and was the subject of what I consider rough and unnecessary treatment. Would consider flying again but only if the price was right.,nan,4.0,nan
nan,Business Class,2.0,nan,4.0,nan,4.0,yes,nan,5.0,"BUD-IST-YYZ-IST-BUD. BUD Ground services are horrible confusing and mean spirited towards the passenger. The inflight hard- ware experience is very good (seat toilets aircraft IFE etc.) but the human resources are like a lottery of low probabilities of meeting a winner or just someone to recall after a week…BUD-IST-BUD sectors on A319 and B737 respectively. Only 2 rows assigned for business class and the seats were economy seats. However with only two passengers for the 12 seats available space was more than enough and one could lay down stretched out by lifting armrests. As for B737 there were old but true business class seats in a 2x2 configurations in 3 rows). Flights on time. Excellent service on board. Champagne at take-off. Special meal ordered almost a year in advance was given. Three more hot meals were presented and given by FA who were proud of their many options. Thus I had cold seafood platter as starter hot salmon as 1st maincourse and as 2nd main course: kofta 3rd main course: pasta and 4th rice with giant prawns. Cheese platter of high quality. Good advice on wines. IST-YYZ-IST on Boeing 777-300. Perfect hardware (inclusive WiFi) and excellent food. However the staff (FAs) has a lot to improve on - Language Socializing Read and understand passengers minds and needs. They need to avoid speaking Turkish to ""all"" passengers and could recruit a bulk of international staff to beef up Spanish Chinese Vietnamese Thai French Arab and …English. The timing of service inputs need improvement. Sense of FA-humour is nil FA's avoidance of passengers is felt -– one could sit on the entire flight without being offered more than 10% of what are available.",nan,5.0,nan
nan,Economy Class,4.0,nan,4.0,nan,5.0,yes,nan,4.0,TLV-IST-YYZ on B777-300. Staff were friendly and helpful for the most part. Great In flight entertainment with large personal touchscreens USB and AC ports. Free Wi-Fi offered. Seats were fairly comfortable and planes in great condition. Ordered a vegan meal (VGML) and got a vegan hot meal with dairy salads deserts and butter - however staff were helpful and replaced salad and desert with vegan ones. Food quality was good but nothing to rave about. Fresh squeezed juice pop and alcoholic beverages were offered. Overall satisfied and would fly again. Great value for only $850USD round-trip.,nan,5.0,nan
nan,Economy Class,4.0,nan,4.0,nan,2.0,yes,nan,4.0,While planning a trip to Istanbul we decided on Turkish Airlines mainly due to low fares out of Houston. We booked economy and were a little concerned due to some negative reviews but we have no regrets but do have a few observations. Check in at Houston was fine we decided to upgrade to comfort class at check in there was no offer or signs we just asked. It cost us $350 each for one way but we are glad we did it. Roomy seats nice amenities and good food in comfort class. The in flight entertainment was not so great mostly older movies but we slept just fine. We had concerns about the temperature in flight and yes it was too warm. On our return from IST the check in was chaotic at best. Flight was fine food and amenities were about the same as comfort class so we are glad we did not pay to upgrade. Overall we would not hesitate to fly THY again.,nan,5.0,nan
nan,Business Class,1.0,nan,2.0,nan,1.0,no,nan,1.0,I flew Dublin - Istanbul - Doha - Istanbul - Dublin. Business class seats are very uncomfortable with minimal recline think BA Club Europe. Crew would rather be at home no eye contact or smile. EN Route from IST-DOH I was the only person in business class and had to ask the captain and 2 female flight attendants to lower their voice they were literally shouting and laughing it was a 00.35 departure so I wanted to sleep they did not dim the lighting. On the return leg DOH-IST I managed some sleep but was woken by the inflight chef snoring in the seat next to me. IST-DUB I slept through the meal service when I woke I tried to get some water but no one came from the bell I went to the galley which was deserted. There were two flight attendants serving economy class someone came from economy class after about 10 minutes to help me. There is no priority boarding for business class. Great lounge in Istanbul.,nan,1.0,nan
nan,Economy Class,4.0,nan,4.0,nan,2.0,no,nan,1.0,Flew TK041 from Johannesburg to Istanbul on 12 June. The flight was full and as a result it was one of the most cramped flights I have experienced. Not for the faint hearted. The major issue is the A330's they use on the route are old and tired. The upholstery was worn through and coming apart from the seats. Very tacky for an airline striving to be one of the world's best. There was minimal leg room in fact on sitting down my legs were already jammed into the seat in front. I don't think I would fly with them again - will probably take the longer route via Dubai. Emirates' seats have far more leg room on the 777's. The service itself was great it was just the planes that were awful!,nan,3.0,nan
nan,Economy Class,1.0,nan,3.0,nan,3.0,no,nan,1.0,VIE-IST on A330. Flight was overbooked in Economy. Although seats in Business Class available it was not possible to upgrade against miles or cash. Cabin chef extremely rude to ground staff and me. I am Elite (star alliance gold) member with the TK programme Miles and Smiles and we were seated in two cramped middle seats - this is how TK treats loyal customers. Worst experience for a long time. Inflight entertainment not updated since January.,nan,3.0,nan
nan,Economy Class,5.0,nan,5.0,nan,5.0,yes,nan,4.0,EDI-IST 31st May. Very New 737-800 with latest IFE system. Very comfortable seats. Excellent economy class food. IST-ERC 31st May. Old A321 Very cramped poor seats but short flight. 11th June ERC-IST. Again old cramped A321. IST-EDI Another very new 737-800 great seats excellent food again. Cabin staff on all flights very good. All flights on time.,nan,5.0,nan
nan,Business Class,5.0,nan,4.0,nan,4.0,yes,nan,5.0,Flew TK18 Business Class from Toronto to Istanbul on May 6th code share flight with Air Canada where the ticket was slightly less than through Turkish. Departed on-time. The flight crew were superb attentive and bi- lingual. Great selection of Turkish newspapers including English-language editions. During the over-night flight my wife awoke: A flight crew member immediately came to her to see if there was anything she needed. Food was good as were the entertainment selections. The food and drinks were well presented including “candlelight dinner high above the clouds.” The bathroom was kept clean through-out the flight the fresh flowers inside and immediately outside were an unexpected touch. Only complaint was the lack of expedited customs upon arrival. Will fly with Turkish again they certainly provided a high quality international flight.,nan,5.0,nan
nan,Business Class,3.0,nan,5.0,nan,3.0,yes,nan,5.0,Recently flew Istanbul to New York City in Business Class using United Air Miles. Very comfortable seats which allowed a potential good sleep. Food excellent though it took a long time to serve and we all were anxious to sleep it was evening. There were two problems: the restroom was filthy from the beginning of the flight. Floor was sticky trash overflowed the bins and was on the floor. When I told Flight Attendant I don't believe she really understood. She told me to use the restroom in Business Class but this was in Business Class. Second problem was it seemed families with young children (infants and toddlers) were invited to use Business Class as a free upgrade. This was nice for them but having two screaming youngsters for several hours was hard on the rest of the passengers. Turkish Air has a great reputation so this was a disappointing flight. Check the bathroom!,nan,3.0,nan
nan,Economy Class,5.0,nan,5.0,nan,5.0,yes,nan,5.0,VIE-IST-TLV-IST-HAM: Outbound flight from VIE to IST with A 330-200. Much legroom excellent food freshly squeezed juices and very tasty hot meal. Flight attendants were smiling and friendly and did a great job to complete a full service within 2hrs 45 min. Flight left on time arrived on time in IST. Smooth check-in and boarding in Vienna. Transfer at IST airport very easy. Plenty of shops and restaurants the only downside is that there was no airbridge available for the next flight to TLV. No seats available at the departure gate and very cramped. Flight from IST to TLV was excellent. Brand new A321 with personal TV on each seat. Again FA's very friendly and they served a hot meal in the middle of the night (flight was 1 hour 40 min). Return flight from TLV to IST again a very new plane flight left punctual at Ben Gurion airport FA's smiling and friendly all the time. Again a smooth transfer at IST connection to HAM. Older aircraft from IST to HAM but enough legroom even in Y- class. I have no doubt to recommend this airline. Especially the catering and the onboard meals are fresh and tasty from Turkish Do&CO. Turkish is much better than most of the European airlines. Will choose them again.,nan,5.0,nan
nan,Premium Economy,5.0,nan,5.0,nan,3.0,yes,nan,4.0,We recently flew from Chicago to Istanbul to Tel Aviv. The experience was very positive but where Turkish Airlines really stood out was in providing gluten free meals. They were of excellent quality and out of four major meals there were no repeats. Really beat the standard white rice and dry white chicken most airlines serve every time. It helped make a long trip easier.,nan,5.0,nan
nan,Business Class,5.0,nan,2.0,nan,2.0,yes,nan,5.0,BRU-IST-BRU 1 class both legs Boeing 737-800 great C configuration. Good efficient check in and SN lounge not as good as BA which was the usual lounge in BRU. Boarding a mess but once on board rather good service comfort and tranquility Two remarks on board though menus are getting very boring if you fly TK often as I do on European routes and bathrooms are used by everybody and FA do nothing to stop it! Third remark is BRU boarding which is always a mess! Arriving in ST when C pax a bliss due to the fast track on arrivals. Will recommend and use them again already book the next 3 trips!,nan,3.0,nan
nan,Premium Economy,5.0,nan,5.0,nan,4.0,yes,nan,5.0,We flew from Rome to Istanbul business class staff food and aircraft were excellent no complaints on this 3.5 hour flight. We then had a two hour wait for our flight to Hong Kong in premium economy on Turkish Airlines. Again everything was excellent. Only thing I could say they should get their boarding process more efficient. Everyone was seated near the boarding counter (flight full or nearly full) we had been sitting there for an hour a person came in and told everyone to move we thought the gate had changed. No. We were moved outside the door past another counter and then had to line up show our boarding pass which part was torn off and then had to sit back where we were originally. Sat there for an hour. After all passengers were seated back where they were the staff member then proceeded to zap all the boarding passes it seemed like 6 times. Why I don't know that is usually done in one process. We then lined up in lines marked A B C D and then flew to HKG. Great flight service and nice clean planes.,nan,5.0,nan
nan,Economy Class,3.0,nan,3.0,nan,1.0,yes,nan,3.0,Travelling from Alanya/Gazipasa to Istanbul via Ankara the first disappointment was that there was no online check-in. At the airport you are allocated a seat which cannot be changed as the system doesn't allow it said the young lady on the desk. No lounge but such a small airport and only one or two flights a day hardly warrant it. In fact the Turkish Airlines printed timetable doesn't even list the flights there. I went into the airport shop for a can of Coke but at TL 7.25 decided it was too much of a rip-off. No priority boarding so a scramble at the gate. Flight operated by Anadolujet was comfortable and a sandwich and water tea and coffee served. At Ankara the domestic transfer passengers were sent straight into the departure area which meant no second security screening. But inside I discovered my next sector was delayed and the Business Class lounge was outside so I could not reach it. Luckily the delay was not long and soon we were boarding. They made an announcement about pre-boarding but then just let everybody go through. Full flight and had another sandwich and cake. After landing at Istanbul we had to sit on the ground with the engines running for 15 minutes before a gate was available. My luggage was the last up - seems they don't use priority tags at Alanya either. But at least I was able to go to the airport shop and buy a can of Coke for TL 1.75!,nan,5.0,nan
nan,Economy Class,1.0,nan,4.0,nan,3.0,no,nan,3.0,I was very disappointed with Turkish Airways. My flight was delayed from Accra to Istanbul resulting in me missing all my connecting flights including my flight to Barbados from Gatwick. The staff at Istanbul were extremely rude and unhelpful resulting in me having to speak with the supervisor. They would not help with rebooking my connecting flight to Barbados which I had to pay for myself plus overnight accommodation. My luggage got separated at Gatwick which compounded my disappointment with Turkish Airways.,nan,2.0,nan
nan,Premium Economy,5.0,nan,3.0,nan,2.0,yes,nan,4.0,Flew non-stop Houston to Istanbul in Comfort Economy. I had low expectation however it was a pleasant experience. From check-in to boarding the process was well managed. I was greeted with a smile while boarding and found the Comfort Economy area quite spacious. The seats were 2-3-2 with decent cushioning leg room foot rest and in seat IFE. The seats did not allow reclining for a comfortable sleeping position but let's not forget it was $350 more than basic economy fare. Here is the more pleasant part: the cabin crew were full of smiles and were pleasant. No attitude or doing the passengers a favor type behavior. The food service was good and well portioned. I don't get this much polite and pleasant service in business class of major US carriers! The arrival at IST was timely however we parked at a hard stand. The airport was very busy however unlike major European and US airports (JFK LAX etc.) lines moved rather fast.,nan,5.0,nan
nan,Business Class,1.0,nan,2.0,nan,1.0,no,nan,1.0,"I have flown with TK a couple of times this year. The majority of flights are disappointing. Most recent flight was on 20 June 2014 from Riyadh (KSA) to Paris (France) via Istanbul. Leg 1: TK141 was delayed (as usual). Flew with an old A321. Very tired and dirty. Business class seat was an economy seat. Most of business class passengers complained about the seats (it was an overnight flight and most of us wanted to sleep - but it was impossible). Crew was ok - nothing exceptional (typical TK). Food was average - I am really wondering why they have the-so called ""Flying-Chef"" on board. Leg 2: TK1821 was delayed as well. Flew with a new A330-300 featuring the new business class. Much space and a fully flat bed. Although business class cabin is spacious it is not sophisticated at all. Cabin was dirty. Food was just ok. Crew was unprofessional and rude.",nan,1.0,nan
nan,Economy Class,5.0,nan,5.0,nan,3.0,yes,nan,4.0,I had return flight CDG-TBS-CDG via Istanbul by Turkish last month. The service overall was really excellent. The food was very good nicely presented and tasty. Cabin attendants were professional in all flights nothing to complain about. Seats are ok for a couple of hours flights with the overhead screens and consequently limited entertainment. I have three observations for improvement: 1) The Business lounge in Sabina airport is very unpleasant a box size room with no edible food available. 2) The Ataturk airport (I had it for return flight) was extremely busy and flights are usually delayed for 30-45 minutes. 3) I observed that the light in cabins during the boarding catering (almost two hours) and landing was extremely bright (it is annoying when there is late evening or night flight). In general Turkish and Lufthansa are the best choices for Tbilisi.,nan,4.0,nan
nan,Business Class,2.0,nan,3.0,nan,1.0,yes,nan,1.0,Flew from IST to ESB on A321. The Business class configuration is typical of the European short haul flights with the middle seat left empty. Legroom is limited and hardly an improvement over Economy. Aircraft was showing its age and as with all TK flights I have been on the air was stuffy and stale. Flight attendants came across as aloof and did not seem to be interested in engaging with the passengers beyond the most basic requirements of their duties. Good meal service for a short flight. There was moderate turbulence throughout the flight resulting in spilled drinks. The FA's did not bother to clean up the spill on my table even though it was evident at the time they collected the meal service. The crews on TK really need to improve their English skills as their announcements are barely understandable and would represent a real concern in the event of an emergency. As well my experience on all of TK flights leave me questioning the safety culture of the FA's as they tend to ignore basic in-flight safety breaches such as passengers standing up while the aircraft is taxiing and leaving their tables down during takeoff and landings. The flight left late due to congestion at Istanbul airport but was otherwise uneventful. Their domestic service is clearly superior to North American and many European carriers and is certainly good value for money. With some attention to cabin service and improved FA performance this airline can easily maintain its status as Europe's best but has a long way to go to compete with Asian and Middle Eastern carriers on long-haul routes.,nan,3.0,nan
nan,Premium Economy,4.0,nan,5.0,nan,4.0,yes,nan,3.0,IAH-IST-IAH. Airline has one of the freshest services on board. Food is tasty and abundant so is beverage service but this is not very diverse with brands. Seat pitch in PE is huge. The only big issue is customer service.,nan,5.0,nan
nan,Economy Class,5.0,nan,5.0,nan,5.0,yes,nan,5.0,IST-LAX flight. It was a B777. The seats were extremely comfortable compared to other transatlantic flight I took over the year (i.e. Mostly Austrian and Lufthansa). The service was excellent. The staff friendly and the food delicious. The plane seemed to me just out of production and the IFE was much better than what I am used to with Austrian (which I prefer generally for financial reasons). The only complaint would be the price you have to pay for THY flights. It is generally 50% more than what Austrian offers.,nan,4.0,nan
nan,Business Class,5.0,nan,4.0,nan,3.0,yes,nan,3.0,TK21 PEK to IST. Orderly and on time boarding. Was asked to relocate to a different seat than the one pre- assigned in order to accommodate a passenger with physical disability. Ended up in a window seat as no other aisle seats were available. The Purser tried very hard and apologized profusely. A warm approach I am not used to receiving from TK FA's. Cabin as with many TK flights very warm and air stale. Comfortable lie-flat seats with plush blanket and soft pillow. The shell style seats do not offer much storage room and are narrower than other business class seats. Attentive service throughout the flight with FA's frequently checking on passengers. Good meal and wine selection although main course was somewhat tasteless. AVOD system with 20 inch screens and a wide selection of movie and music options although somewhat dated. The highlight of the flight was the free WiFi which is a very nice touch. Overall a pleasant experience.,nan,4.0,nan
nan,Economy Class,1.0,nan,3.0,nan,1.0,no,nan,1.0,TK 0035 IST Ataturk-Montreal June 17 2014. Booking the flight one month in advance: both my travel agent and I tried to secure an exit row seat. I expected to pay for it. The airline was impossible to reach from Canada. At check-in the seat selected by the travel agent was changed to an unacceptable one. A request to upgrade for business cabin was denied. On the ground at Ataturk a long and very slow line-up in the corridor just to enter the gate (an additional security check - we have gone through the passport control as well as the security already). Not a single seat available. The security agents behaved like Canadian immigration officials interrogating people about purposes of their trips but no information was going into computers. Younger people were sitting on the floor older ones standing there with their bags looked tortured already. The plane was jammed full. The seats in Economy were really cramped no legroom (a 10hr flight). Rude FA's and completely devoid of smiles. Dismissive and unhelpful to boot trying to ignore passengers as much as possible. Dirty lavatories with pileups of used paper towels on top of garbage boxes no toilet seats available.,nan,2.0,nan
